idx,company,Title,notes,tax3,tax2,tax1,Enterprise/Sector Type,city,Country,Continent: Asia,website,lat,lng
69,Bill Maclay,Founder and Principal,Maclay Architects,Over 30,Male,For-Profit,"Architecture, Design, Engineering","Waitsfield, VT",USA,North America,https://www.linkedin.com/in/bill-maclay-a89b352/,44.192639,-72.779848
70,Bill McDonough,-Holds a variety of roles-,"McDonough Innovation, William McDonough + Partners",Over 30,Male,For-Profit,"NGO/Architecture, Design, Engineering","Charlottesville, VA",USA,North America,https://www.linkedin.com/in/william-mcdonough/,38.029306,-78.476678
71,Bill McKibben,Author,,Over 30,Male,Non-profit,Activist,"Bristol, VT",USA,North America,https://www.linkedin.com/in/bill-mckibben-6174131b7/,44.133391,-73.079008
72,Bill Weihl,Founder and Executive Director,ClimateVoice,Over 30,Male,Non-Profit,NGO,"San Francisco, CA",USA,North America,https://www.linkedin.com/in/bweihl/,37.77493,-122.419416
73,Bin Duan,Director,Beijing Carbon-Change Environment Research Center,Over 30,Male,Non-Profit,NGO,"Dongcheng District, Beijing",China,Asia,https://www.linkedin.com/in/bin-duan-036115a2/,39.928353,116.416357
74,Bob Mumgaard,CEO,Commonwealth Fusion Systems,Over 30,Male,For-Profit,Energy/Environmental,"Boston, MA",USA,North America,https://www.linkedin.com/in/mumgaard/,42.360082,-71.05888
75,Bren Smith,Co-Executive Director and Co-Founder,GreenWave,Over 30,Male,Non-Profit,NGO,"Long island Sound, CT",USA,North America,https://www.greenwave.org/team ,41.074845,-72.946057
76,Brendan Hammond,Project Director at Asian Renewable Energy Hub,Asian Renewable Energy Hub,Over 30,Male,Non-Profit,Government,Perth,Australia,Australia/Oceania,https://www.linkedin.com/in/brendanhammond1/?originalSubdomain=au,-31.952312,115.861309
77,Brett Jenks,President and Chief Executive Officer,Rare,Over 30,Male,Non-Profit,NGO,"Washington, D.C.",USA,North America,https://www.linkedin.com/in/brett-jenks-9200196/ ,38.907192,-77.036871
78,Brian Bartholomeusz,Chief Executive Officer,TomKat Center for Sustainable Energy,Over 30,Male,Non-Profit,NGO,"Palo Alto, CA",USA,North America,https://www.linkedin.com/in/brianbartholomeusz/ ,37.441883,-122.14302
79,Brian Nash,Director of Sustainability,Ingredion Incorporated,Over 30,Male,For-Profit,Energy/Environmental,"Indianapolis, IN",USA,North America,https://www.linkedin.com/in/brian-nash-05a57842/,39.768403,-86.158068
80,Bryant  Terry,Author,Ten Speed Press,Over 30,Male,For-Profit,General,"San Francisco, CA",USA,North America,https://www.linkedin.com/in/bryant-terry-54b9033/,37.77493,-122.419416
81,Cara Chacon,Former Vice President of Social & Environmental Responsibility,Patagonia,Over 30,Female,For-Profit,General,"Los Angeles, CA",USA,North America,https://www.linkedin.com/in/carachacon/,34.052234,-118.243685
82,Cardinal Peter Turkson,Author,Laudato Si,Over 30,Male,Non-Profit,Energy/Environmental,Accra,Ghana,Africa,https://press.vatican.va/content/salastampa/en/documentation/cardinali_biografie/cardinali_bio_turkson_pka.html,5.603717,-0.186964
83,Carl Pendragon,Founder and CEO,Skymining,Over 30,Male,For-Profit,CC/Circular Economy,Stockholm,Sweden,Europe,https://www.linkedin.com/in/carl-pendragon-b4212a68/,59.329324,18.068581
84,Carlos Manuel Rodriguez,CEO and Chairperson,Global Environment Facility,Over 30,Male,Non-Profit,NGO,San Jose,Costa Rica,North America,https://www.linkedin.com/in/carlos-manuel-rodriguez-7442581b6/ ,37.338208,-121.886329
85,Carol-Ann Brown,President,The Delphi Group,Over 30,Female,For-Profit,Energy/Environmental,Calgary,Canada,North America,https://www.linkedin.com/in/carol-ann-brown-37512923/?originalSubdomain=ca,51.044733,-114.071883
86,Carter Roberts,President and Chief Executive Officer,World Wildlife Fund,Over 30,Male,Non-Profit,NGO,"Washington, D.C.",USA,North America,https://www.linkedin.com/in/carter-roberts-09879331/,38.907192,-77.036871
87,Cassie Flynn,Strategic Advisor on Climate Change,United Nations Development Programme,Over 30,Female,Non-Profit,Government,"New York, NY",USA,North America,https://www.linkedin.com/in/cassieflynn/ ,40.712775,-74.005973
88,Catherine Chevauché,Climate and Circular Economy Manager,SUEZ,Over 30,Female,For-Profit,Energy/Environmental,Paris,France,Europe,https://www.linkedin.com/in/catherine-chevauch%C3%A9-9554a5a3/,48.856614,2.352222
89,Catherine Grenier,President and CEO,Nature Conservancy Canada,Over 30,Female,Non-Profit,NGO,Quebec,Canada,North America,https://www.linkedin.com/in/catherine-grenier-448278108/ ,46.813878,-71.207981
90,Cathy Zoi,CEO,EVgo,Over 30,Female,For-Profit,Energy/Environmental,"Los Angeles, CA",USA,North America,https://www.linkedin.com/in/cathy-zoi-60016a60/,34.052234,-118.243685
