idx,company,Title,notes,tax3,tax2,tax1,Enterprise/Sector Type,city,Country,Continent: Asia,website,lat,lng
392,Natasha Landell-Mills,Head of Stewardship,Sarasin & Partners,Over 30,Female,For-Profit,Energy/Environmental,London,United Kingdom,Europe,https://www.linkedin.com/in/natasha-landell-mills-cfa-05115935/,51.507218,-0.127586
393,Nate Hurst,President of Wells Fargo Foundation; Chief Social Impact and Sustainability Officer,Wells Fargo,Over 30,Male,For-Profit,General,"Washington, D.C.",USA,North America,https://www.linkedin.com/in/natehurst/,38.907192,-77.036871
394,Nathan Hultman,Founding Director of Center for Global Sustainability,University of Maryland,Over 30,Male,Non-Profit,University,"Washington, D.C.",USA,North America,https://www.linkedin.com/in/nathan-hultman-223647/ ,38.907192,-77.036871
395,Ndidi Nnoli Edozien,Chair,Circular Economy Innovation Partnership (CEIP),Over 30,Female,Non-Profit,Research,Lagos,Nigeria,Africa,https://www.linkedin.com/in/dr-ndidi-nnoli-edozien-798649141/?originalSubdomain=ng,6.524379,3.379206
396,Ndidi Nnoli-Edozien,Chair,Circular Economy Innovation Partnership,Over 30,Female,Non-Profit,NGO,Abuja,Nigeria,Africa,https://www.linkedin.com/in/dr-ndidi-nnoli-edozien-798649141/,9.076478,7.398574
397,Ndoni Mcunu,Bilateral Engagement Lead,SouthSouthNorth,Over 30,Female,Non-Profit,Energy/Environmental,Johannesburg,South Africa,Africa,https://www.linkedin.com/in/ndoni-mcunu-015bb68b/?originalSubdomain=za,-26.204103,28.047305
398,Nestor Batio Bassiere,"Minister of Environment, Climate Change, and Green Economy",Burkina Faso (country in West Africa),Over 30,Male,Non-Profit,Government,Ouagadougou,Burkina Faso,Africa,https://www.linkedin.com/in/batio-nestor-bassiere-6036a450/?originalSubdomain=bf,12.371428,-1.51966
399,Nick Mabey,Owner,E3G,Over 30,Male,Non-Profit,NGO,London,United Kingdom,Europe,https://www.linkedin.com/in/nick-mabey-7845482/,51.507218,-0.127586
400,Nicole Becker,Co-founder,Jóvenes por el Clima Argentina (Youth for Climate Argentina),Under 30,Female,Non-Profit,Activist,Buenos Aires,Argentina,South America,https://globalclimatestrike.net/nicole-becker-19-argentina/,-34.603684,-58.381559
401,Nisakorn Kositratna,Vice Chairman,Thailand Environment Institute,Over 30,Female,Non-profit,Energy/Environmental,Nonthaburi,Thailand,Asia,http://www.tei.or.th/th/executive.php,13.862112,100.514353
402,Nomso Kana ,"Nuclear Energy Foundation agency
Governor",Nuclear Energy Foundation agency,Over 30,Female,Non-profit,,Johannesburg,South Africa,Africa,https://www.linkedin.com/in/nomso-kana-m-inst-d-18323116/?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAM8srMBNT6_fMKBu4UVKAtpAKXLZOWSoRM,-26.204103,28.047305
403,Nuki Agya Utama,Executive Director at ASEAN Centre for Energy,ASEAN center for Energy,Over 30,Male,Non-Profit,Government,Jakarta,Indonesia,Asia,https://www.linkedin.com/in/nuki-agya-utama-phd-99450018/,-6.208763,106.845599
404,Nur Hidayati,Executive Director,Indonesian Forum for the Environment (Walhi),Over 30,Female,Non-profit,Energy/Environmental,Jakarta,Indonesia,Asia,https://www.linkedin.com/in/nur-hidayati-3048304a/,-6.208763,106.845599
405,Nzambi Matee,Founder,Gjenge Makers,Under 30,Female,For-Profit,Building Materials,Nairobi,Kenya,Africa,https://www.linkedin.com/in/nzambi-matee-gjenge2017/?originalSubdomain=ke,-1.292066,36.821946
406,Oliver Johnson,"Head of Climate, Energy and Environment",Government Office for Science,Over 30,Male,Non-Profit,NGO,London,United Kingdom,Europe,https://www.linkedin.com/in/oliverwjohnson/ https://www.sei.org/people/oliver-johnson/,51.507218,-0.127586
407,Owen Keogh,Head of Corporate Social Responsibility,Lidl Ireland and Northern Ireland,Under 30,Male,For-Profit,General,London,United Kingdom,Europe,https://www.linkedin.com/in/owen-keogh-91896560/?originalSubdomain=uk,51.507218,-0.127586
408,Paul Hawken,Author,Founder of One Generation,Over 30,Male,Non-profit,Activist,"Sausalito, CA",USA,North America,https://www.linkedin.com/in/paul-hawken-0792b/,37.859094,-122.485251
409,Paul Polman,"Former CEO, Co-Founder","Unilever, Imagine",Over 30,Male,For-Profit,Energy/Environmental,London,United Kingdom,Europe,https://www.linkedin.com/in/paulpolman/,51.507218,-0.127586
410,Paul Shrivastava,Chief Sustainability Officer,Sustainability Institute at Penn State,Over 30,Male,Non-Profit,University,"State College, PA",USA,North America,https://directory.smeal.psu.edu/pxs993,40.793395,-77.860001
411,Paul Simpson,CEO,CDP,Over 30,Male,Non-Profit,NGO,London,United Kingdom,Europe,https://www.linkedin.com/in/paulsimpsoncdp/,51.507218,-0.127586
412,Paul Torcellini,Principal Engineer,National Renewable Energy Laboratory,Over 30,Male,Non-Profit,"Government/Architecture, Design, Engineering","Golden, CO",USA,North America,https://www.linkedin.com/in/paul-torcellini-b17562209/ ,39.755543,-105.2211
413,Peggy Brannigan,"Senior Program Manager, Global Environmental Sustainability",LinkedIn,Over 30,Female,For-Profit,General,"San Francisco, CA",USA,North America,https://www.linkedin.com/in/peggybrannigan/,37.77493,-122.419416
414,Peter Bakker,President,World Business Council for Sustainable Development,Over 30,Male,Non-Profit,NGO,Geneva,Switzerland,Europe,https://www.linkedin.com/in/peter-bakker-14a13638/,46.204391,6.143158
415,Peter Vanacker,Chief Executive Officer,Neste Corporation,Over 30,Male,For-Profit,General,Helsinki,Finland,Europe,https://www.linkedin.com/in/peter-vanacker-ba954519/,60.169856,24.938379
416,Petra Kuenkel,Executive Director,Collective Leadership Institute,Over 30,Female,Non-Profit,NGO,Berlin,Germany,Europe,https://www.linkedin.com/in/petra-kuenkel/,52.520007,13.404954
417,Phil Graves,"Chief Sustainability Officer, President of Johnny Morris Foundation",Bass Pro Shops,Over 30,Male,For-Profit,General,"Springfield, MS",USA,North America,https://www.linkedin.com/in/phil-graves-1b993515/,37.208957,-93.292299
418,Pia Heidenmark Cook,Chief Sustainability Officer,IKEA,Over 30,Female,For-Profit,General,Stockholm,Sweden,Europe,https://www.linkedin.com/in/pia-heidenmark-cook-bb088042/,59.329324,18.068581
419,Pratap Raju,Founding Partner,Climate Collective,Over 30,Male,Non-Profit,NGO,Goa,India,Asia,https://www.linkedin.com/in/prpratapraju/,15.299326,74.123996
420,Pratik Gauri,Partner and India President,5th Element Group PBC,Under 30,Male,For-Profit,Energy/Environmental,Delhi,India,Asia,https://www.linkedin.com/in/pratikgauri/,28.704059,77.10249
421,Preeti Soni,"Chief of Climate Change, Resilience, and Energy",United Nations Development Programme (UNDP),Over 30,Female,Non-Profit,Government,Delhi,India,Asia,https://www.linkedin.com/in/preeti-soni-917b667/,28.704059,77.10249
422,Priscilla Achapka,Global President,Women Environmental Programme,Over 30,Female,Non-profit,Energy/Environmental,Abuja,Nigeria,Africa,https://wepnigeria.net/index.php/team/priscilla-achakpa/,9.076478,7.398574
423,Rachel Kyte,"Dean, Former CEO","The Fletcher School at Tufts University, Sustainable Energy for All",Over 30,Female,Non-Profit,University,"Medford, MA",USA,North America,https://www.linkedin.com/in/rachelkyte/,42.41843,-71.106164
424,Ralph DiNola,CEO,New Buildings Institute,Over 30,Male,Non-Profit,"NGO/Architecture, Design, Engineering","Portland, OR",USA,North America,https://www.linkedin.com/in/ralph-dinola-2092ab1/ ,45.515232,-122.678385
425,Rana Ghoneim,Chief of Energy Systems and Infrastructure Division,UNIDO,Over 30,Female,Non-Profit,Government,Vienna,Austria,Europe,https://www.linkedin.com/in/rana-ghoneim-1a5b4840/ ,48.208174,16.373819
426,Ranjit  Gupta,CEO Azure power ,Azure power ,Over 30,Male,For-Profit,Energy,Delhi,India,Asia,https://www.linkedin.com/in/ranjit-gupta-98b351/,28.704059,77.10249
427,Rebekah Moses,Director of Impact Strategy,Impossible Foods,Over 30,Female,For-Profit,Energy/Environmental,"San Francisco, CA",USA,North America,https://www.linkedin.com/in/rebekahmoses/,37.77493,-122.419416
428,Richard Fine,Founder,BioPak,Over 30,Male,For-Profit,Energy/Environmental,Sydney,Australia,Australia/Oceania,https://www.linkedin.com/in/richard-fine-6920084/,-33.86882,151.209296
429,Richard Morningstar,"Founding Chairman, Board Director","Global Energy Center, Atlantic Council",Over 30,Male,Non-Profit,NGO,"Washington, D.C.",USA,North America,https://www.albrightstonebridge.com/team/richard-morningstar,38.907192,-77.036871
430,Rick Smith,Executive Director,Broadbent Institute,Over 30,Male,Non-Profit,NGO,Toronto,Canada,North America,https://www.linkedin.com/in/rick-smith-75616b38/ ,43.653226,-79.383184
431,Rim BOUKHCHINA,Head of Sustainable Energy Policies and Member States Support Unit,RCREEE,Over 30,Female,Non-Profit,Energy/Sustainability,ben arous,Tunisia,Africa,https://www.linkedin.com/in/rim-boukhchina-99bb686b/,36.7435,10.231976
432,Riva Krut,Former Vice President and Chief Sustainability Officer (retired); Board member and Chair of Sustainability & Innovation Committee,Linde; The Metals Company,Over 30,Female,For-Profit,Energy/Environmental,"New York, NY",USA,North America,https://www.linkedin.com/in/riva-krut-37377722/,40.712775,-74.005973
433,Robert Bullard,Distinguished Professor of Urban Planning at the Barbara Jordan-Mickey Leland School of Public Affairs,Texas Southern University,Over 30,Male,Non-Profit,University,"Houston, TX",USA,North America,https://www.linkedin.com/in/robert-bullard-7b471733/,29.760427,-95.369803
434,Robert Horton,VP of Environmental Affairs and Sustainability,Dallas Fort Worth International Airport,Over 30,Male,For-Profit,General,"Irving, TX",USA,North America,https://www.linkedin.com/in/robert-horton/,32.814018,-96.948894
435,Robert O'Connor,Partner,Wilson Sonsini Goodrich & Rosati,Over 30,Male,For-Profit,Energy/Environmental,"Corte Madera, CA",USA,North America,https://www.linkedin.com/in/robert-o-connor-bba68934/,37.925481,-122.527476
436,Robert Taylor,Sustainability Director,UPM Raflatac,Over 30,Male,For-Profit,Energy/Environmental,Helsinki,Finland,Europe,https://www.linkedin.com/in/robert-taylor-micfor-31981816/,60.169856,24.938379
437,Robert Tournay,Head of Sustainability,PwC,Over 30,Male,For-Profit,General,"New York, NY",USA,North America,https://www.linkedin.com/in/robert-tournay-7913ba6a/,40.712775,-74.005973
438,Robin Kimmerer,Distinguished Teaching Professor and Director of the Center for Native Peoples and the Environment,SUNY ESF,Over 30,Female,Non-Profit,University,"Fabius, NY",USA,North America,https://www.linkedin.com/in/robin-kimmerer-10397a11/,42.82905,-75.969546
439,Robyn Seetal,Principal Consultant,IkTaar Sustainability,Over 30,Female,For-Profit,Energy/Environmental,Calgary,Canada,North America,https://www.linkedin.com/in/robyn-seetal-cpa-ca-60a5a641/ ,51.044733,-114.071883
440,Rodolfo Lacy,Environmental Directorate,OECD,Over 30,Male,Non-Profit,Government,Paris,France,Europe,https://www.linkedin.com/in/rodolfo-lacy-306b8bb2/,48.856614,2.352222
441,Rose Marcario,Board Member,Meati Foods,Over 30,Female,For-Profit,General,"Los Angeles, CA",USA,North America,https://www.linkedin.com/in/rose-marcario-06703716/,34.052234,-118.243685
442,Rose Mutiso,Research Director ,Enegy for Growth,Over 30,Female,Non-Profit,Energy/Environmental,Nairobi,Kenya,Africa,https://www.linkedin.com/in/rosemutiso/?originalSubdomain=ke,-1.292066,36.821946
443,Rosette Muhoza,Co-founder,My Green Home,Under 30,Female,For-Profit,Energy/Environmental,Kigali,Rwanda,Africa,http://mygreenhome.rw/ https://www.forbes.com/sites/davidrvetter/2021/05/27/sustainability-in-africa-how-rwandas-young-innovators-are-building-a-circular-economy/?sh=2e4b28987910,-1.944073,30.061885
444,Rosina Bierbaum,Professor of Environmental Policy and Planning Climate + Energy,University of Michigan,Over 30,Female,Non-Profit,University,"Ann Arbor, MI",USA,North America,https://seas.umich.edu/research/faculty/rosina-bierbaum ,42.280826,-83.743038
445,Ruth Yeoh,executive director,YTL Singapore Pte LTD,Over 30,Female,For-Profit,construction/Environmental,Singapore,Singapore,Asia,https://www.linkedin.com/in/ruth-yeoh-0681174/,1.352083,103.819836
446,Salah Nezar,"Global Energy & Sustainability Director - CBRE@Cisco, CA",CBRE,Over 30,Male,For-Profit,Energy/ sustainability,"San Francisco, CA",USA,North America,https://www.linkedin.com/in/salahnezar/,37.77493,-122.419416
447,Sally Uren,CEO,Forum for the Future,Over 30,Female,Non-Profit,NGO,London,United Kingdom,Europe,https://www.linkedin.com/in/dr-sally-uren-97b90624/,51.507218,-0.127586
448,Salma  Okonkwo,Chairwoman,UBI Group,Under 30,Female,For-Profit,"solar, social impact",Accra,Ghana,Africa,https://www.linkedin.com/in/salma-okonkwo-a5171b1aa/,5.603717,-0.186964
449,Sanda Ojiambo,Executive Director of the United Nations Global Compact,United Nations,Over 30,Female,Non-Profit,Government,Nairobi,Kenya,Africa,https://www.linkedin.com/in/sandaojiambo/ ,-1.292066,36.821946
450,Sandra Leibowitz,Founder and Owner,Sustainable Design Consulting,Over 30,Female,For-Profit,"Architecture, Design, Engineering","Alexandria, VA",USA,North America,https://www.linkedin.com/in/sandra-leibowitz-6504b55/,38.804836,-77.046921
451,Sandrine Dixson-Declѐve,Senior Advisor,Interel,Over 30,Female,For-Profit,General,Brussels,Belgium,Europe,https://www.linkedin.com/in/sandrine-dixson-decl%C3%A8ve-9074aa2/?originalSubdomain=be,50.85034,4.35171
452,Sarah Butler-Sloss,Founder Director,Ashden,Over 30,Female,Non-Profit,NGO,London,United Kingdom,Europe,https://www.linkedin.com/in/sarah-butler-sloss-3a310370/,51.507218,-0.127586
453,Sarah El Battouty,Chairman Founder,ECOnsult architecture,Over 30,Female,For-Profit,Architecture,Cairo,Egypt,Africa,https://www.linkedin.com/in/sarah-el-battouty-2b823081/?originalSubdomain=eg,30.04442,31.235712
454,Sarah Neff,Senior Vice President of Sustainability,Kilroy Realty Corporation,Over 30,Female,For-Profit,General,"Los Angeles, CA",USA,North America,https://www.linkedin.com/in/sara-neff-4490b214/,34.052234,-118.243685
455,Hana Kajimura,Sustainability Lead,Allbirds,Under 30,Female,For-Profit,Energy/Environmental,"San Francisco, CA",USA,North America,https://www.linkedin.com/in/hanakajimura/,37.77493,-122.419416
456,Scott Skinner,President and CEO,Clean Foundation,Over 30,Male,Non-Profit,NGO,Nova Scotia,Canada,North America,https://www.linkedin.com/in/scott-skinner-8369011/ ,44.681987,-63.744311
457,Sean Kidney,CEO,Climate Bonds Initiative,Over 30,Male,Non-Profit,NGO,London,United Kingdom,Europe,https://www.linkedin.com/in/seankidney/,51.507218,-0.127586
458,Sean O'Brien,President and Chief Executive Officer,Nature Serve,Over 30,Male,Non-Profit,NGO,"Arlington, VA",USA,North America,"http://www.natureserve.org/about-us/whos-who/key-contacts/sean-obrien-president-ceo 
https://www.linkedin.com/in/seanatnatureserve/ ",38.881621,-77.090981
459,Sean Sweeney,Director; Coordinator,"International Program on Labor, Climate & Environment at the School of Labor and Urban Studies - City University of New York; Trade Unions for Energy Democracy",Over 30,Male,Non-Profit,University,"Brooklyn, NY",USA,North America,https://www.linkedin.com/in/sean-sweeney-6484a738/ ,40.678178,-73.944158
460,Sebastian Kind,Chairman of the Board,GREENMAP,Over 30,Male,Non-profit,NGO,Brussels,Belgium,Europe,https://www.linkedin.com/in/sebastiankind/?originalSubdomain=ar,50.85034,4.35171
461,Secretary KS Wong,Secretary for the Environment,Hong Kong,Over 30,Male,Non-Profit,Government,Hong Kong,China,Asia,https://www.gov.hk/en/about/govdirectory/po/sen.htm,22.319304,114.169361
462,Selwin Hart,Special Advisor and Assistant-Secretary General,Climate Action at United Nations,Over 30,Male,Non-Profit,Government,"Washington, D.C.",USA,North America,https://www.linkedin.com/in/selwin-hart-852080136/ ,38.907192,-77.036871
463,Shalanda Baker,Deputy Director for Energy Justice ,"Office of Economic Impact and Development, US Department of Energy",Over 30,Female,Non-Profit,Government,"Washington, D.C.",USA,North America,https://www.linkedin.com/in/shalanda-baker-13a607205/,38.907192,-77.036871
464,Sharon Basel,Senior Manager of Sustainability,General Motors,Over 30,Female,For-Profit,General,"Detroit, MI",USA,North America,https://www.linkedin.com/in/sharonbasel/,42.331427,-83.045754
465,Shloka Nath,Head of Sustainability and Special Projects,Tata Trusts,Under 30,Female,Non-Profit,NGO,Mumbai,India,Asia,https://www.linkedin.com/in/shlokanath/,19.075984,72.877656
466,Sonia Aggarwal,Senior Adviser for Climate Policy and Innovation,White House,Over 30,Female,For-Profit,Energy/Environmental,"San Francisco, CA",USA,North America,https://www.linkedin.com/in/soniaaggarwal/,37.77493,-122.419416
467,Sonja Graham,CO-CEO,Global Action Plan,Over 30,Female,Non-Profit,NGO,London,United Kingdom,Europe,https://www.linkedin.com/in/sonjagraham/,51.507218,-0.127586
468,Sophie Beckham,Chief Sustainability Officer,International Paper,Over 30,Female,For-Profit,Energy/Environmental,"Ashville, NC",USA,North America,https://www.linkedin.com/in/sophie-beckham-18209957/,35.595058,-82.551487
469,Stacy Kauk,Director of Sustainability Fund,Shopify,Over 30,Female,For-Profit,General,Ontario,Canada,North America,https://www.linkedin.com/in/stacy-kauk-p-eng/,51.253775,-85.323214
470,Stephen  Nindi,Director General,National Land Use Planning Commission,Over 30,Male,Non-Profit,Government,Dar Es Salaam,Tanzania,Africa,https://www.linkedin.com/in/stephen-nindi-41125724/?originalSubdomain=tz,-6.792354,39.208328
471,Sunita Narain,Director General,Center for Science and Environment,Over 30,Female,Non-Profit,NGO,Dehli,India,Asia,https://www.cseindia.org/page/sunita-narain,28.704059,77.10249
472,Susan Chong,Founder and CEO,Greenpac,Over 30,Female,For-Profit,Energy/Environmental,Singapore,Singapore,Asia,https://www.linkedin.com/in/susan-chong-b9515623/?originalSubdomain=sg,1.352083,103.819836
473,Susannah Jaffer,Founder,ZERRIN,Under 30,Female,For-Profit,Energy/Environmental,Singapore,Singapore,Asia,https://www.linkedin.com/in/susannah-jaffer/,1.352083,103.819836
474,Suzanne DiBianca,EVP Corporate Relations and Chief Impact Officer,Salesforce,Over 30,Female,For-Profit,General,"San Francisco, CA",USA,North America,https://www.linkedin.com/in/suzannedibianca/,37.77493,-122.419416
475,Suzanne Shelton,President and CEO,Shelton Group,Over 30,Female,For-Profit,Energy/Environmental,"Knoxville, TN",USA,North America,https://www.linkedin.com/in/suzanneshelton/,35.960638,-83.920739
476,Tarja Halonen,Former President of the Republic of Finland,Republic of Finland,Over 30,Female,Non-Profit,Government,Helsinki,Finland,Europe,https://presidenthalonen.fi/en/activities/presentation/,60.169856,24.938379
477,Tasso  Azevedo,Founder,Imaflora,Over 30,Male,Non-Profit,Energy/Environmental,São Paulo,Brazil,South America,https://www.linkedin.com/in/tassoazevedo/?originalSubdomain=br  https://www.ted.com/speakers/tasso_azevedo,-23.555771,-46.639557
478,Tatiana Antonelli Abella,Sustainability Expert | Environmental Advocate | Impact & Solution Driven | Inspirational Speaker & Mentor | Changing Mindsets | Founder of Goumbook,Goumbook,Over 30,Female,For-Profit,Energy/ sustainability,Dubai,UAE,Asia,https://www.linkedin.com/in/tatianaantonelliabella/,25.204849,55.270783
479,Ted Chen,"Co-Founder, CEO, and Chief Product Architect",EverComm Singapore,Under 30,Male,For-Profit,Energy/Environmental,Singapore,Singapore,Asia,https://www.linkedin.com/in/chiuhaochen/,1.352083,103.819836
480,Tedd Saunders,Founder and Chief Executive Officer,EcoLogical Solutions,Over 30,Male,For-Profit,Energy/Environmental,"Boston, MA",USA,North America,https://www.linkedin.com/in/tedd-saunders-a883a51/,42.360082,-71.05888
481,Terri Wills,Former CEO,World Green Building Council,Over 30,Female,Non-Profit,NGO,London,United Kingdom,Europe,https://www.linkedin.com/in/terriwills/,51.507218,-0.127586
482,Tessa Khan,Director,Uplift,Over 30,Female,Non-Profit,NGO,London,United Kingdom,Europe,https://www.linkedin.com/in/tessa-khan-a42b6a48/?originalSubdomain=uk,51.507218,-0.127586
483,Theresa Mundita Lim,Executive Director,ASEAN Center for Biodiversity,Over 30,Female,Non-Profit,NGO,"Los Banos, Laguna",Philippines,Asia,https://www.linkedin.com/in/theresa-mundita-lim-7322b321/?originalSubdomain=ph,14.169912,121.244063
484,Thomas Becker,Vice President of Sustainability and Mobility,BMW Group,Over 30,Male,For-Profit,General,Munich,Germany,Europe,https://www.linkedin.com/in/thomas-becker-83805276/,48.135125,11.58198
485,Thomas Crowther,Assistant Professor of Global Ecosystem Ecology,ETH Zurich,Over 30,Male,Non-Profit,University,Zurich,Switzerland,Europe,https://www.linkedin.com/in/crowther-thomas-ecology/,47.376887,8.541694
486,Tim Brooks,VP of Environmental Sustainability and Corporate Responsibility,Lego,Over 30,Male,For-Profit,General,Billund,Denmark,Europe,https://www.linkedin.com/in/tim-brooks-48a5b09/?originalSubdomain=dk  https://www.fastcompany.com/person/tim-brooks,55.728449,9.112366
487,Tim Groser,Former Minister of Climate Change Issues,Government of New Zealand,Over 30,Male,Non-Profit,Government,Wellington,New Zealand,Australia/Oceania,https://www.linkedin.com/in/tim-groser-a35b9831/,-41.292381,174.778746
488,Tim Jackson,Professor of Sustainable Development,University of Surrey,Over 30,Male,Non-Profit,University,Guildford,United Kingdom,Europe,https://www.linkedin.com/in/tim-jackson-0b86311b/?originalSubdomain=uk,51.23622,-0.570409
489,Timothy  Skone,Senior Environmental Engineer,"U.S. Department of Energy, National Energy Technology Labratory",Over 30,Male,Non-Profit,Government,"Irwin, PA",USA,North America,https://www.linkedin.com/in/timothy-skone-b3578479/,40.324514,-79.701155
490,Tom Steyer,Founder,NextGen America,Over 30,Male,Non-Profit,NGO,"San Francisco, CA",USA,North America,https://www.linkedin.com/in/tomsteyer/,37.77493,-122.419416
491,Tony Davis,Chief Executive Officer and Chief Information Officer,Inherent Group,Over 30,Male,For-Profit,Energy/Environmental,"New York, NY",USA,North America,https://www.inherentgroup.com/team/,40.712775,-74.005973
492,Tony Reames,Assistant Professor of Energy Justice,School for Environment and Sustainability at the University of Michigan,Over 30,Male,Non-Profit,University,"Ann Arbor, MI",USA,North America,https://www.linkedin.com/in/tonygreames/,42.280826,-83.743038
493,Valerie Smith,Chief Sustainability Officer,CitiBank,Over 30,Female,For-Profit,General,"New York, NY",USA,North America,https://www.linkedin.com/in/valerie-smith-98aa326/,40.712775,-74.005973
494,Vanessa Nakate,Founder,Rise Up Movement,Under 30,Female,Non-Profit,NGO,Kampala,Uganda,Africa,https://www.linkedin.com/in/vanessa-nakate-09156889/,0.347596,32.58252
495,Varsha Chandralal,Sustainability | Environmental | LEED Green Associate | GSAS - CGP ( CM and D&B) | IGBC AP,Qatar Green Leaders,Under 30,Female,Non-profit,Energy/ sustainability,Doha,Qatar,Asia,https://www.linkedin.com/in/varsha-chandralal-2a079682/,25.285447,51.53104
496,Alexsandra Guerra,Co-Founder and Director of Corporate Development,Nori,Under 30,Female,For-Profit,Energy/Environmental,"Seattle, WA",USA,North America,https://www.linkedin.com/in/alexsandraguerra/,47.60621,-122.332071
497,Varun Sivaram,Visiting Senior Fellow,Columbia University SIPA Center for Global Energy Policy,Over 30,Male,Non-Profit,University,"Washington, D.C.",USA,North America,https://www.linkedin.com/in/varunsivaram/,38.907192,-77.036871
498,Vicente Ferreyra Acosta,CEO ,Sustentur,Over 30,Male,For-Profit,General,Quintana Roo,Mexico,North America,https://www.linkedin.com/in/vicenteferreyra/ https://sustainability-leaders.com/directory/sustentur/,19.181739,-88.479138
499,Vicky Sharpe,Member Board of Directors; Former President and CEO,EfficiencyOne; Sustainable Development Technology Canada,Over 30,Female,Non-Profit,NGO,Nova Scotia,Canada,North America,https://www.linkedin.com/in/vicky-sharpe-3b584051/ ,44.681987,-63.744311
500,Vien Truong,Senior Director of Engagement and Global Sustainability,Nike,Over 30,Female,For-Profit,General,"San Francisco, CA",USA,North America,https://www.linkedin.com/in/vien-truong-40109118/,37.77493,-122.419416
501,"Vincent Pérez, Jr.",Chairman; Former Secretary,Alternergy and Solar Pacific; Philippine Department of Energy,Over 30,Male,For-Profit,Energy/Environmental,Manila,Philippines,Asia,https://www.linkedin.com/in/vince-s-perez-1287968/?originalSubdomain=ph,14.599512,120.98422
502,Vincent Roche,President and Chief Executive Officer,Analog Devices,Over 30,Male,For-Profit,General,"Norwood, MA",USA,North America,https://investor.analog.com/governance/leadership-team https://www.bloomberg.com/profile/person/4759894,42.194391,-71.19897
503,Virginie Helias,Chief Sustainability Officer,Proctor and Gamble,Over 30,Female,For-Profit,General,Geneva,Switzerland,Europe,https://www.linkedin.com/in/virginiehelias/,46.204391,6.143158
504,Viviana Alvarez Sanchez,Head of Sustainability,North America Unilever ,Over 30,Female,For-Profit,General,"New York, NY",USA,North America,https://www.linkedin.com/in/viviana-alvarez-sanchez-6a21b43a/,40.712775,-74.005973
505,Volker Quaschning,Professor of Renewable Energy Systems,NTW Berlin,Over 30,Male,Non-Profit,University,Berlin,Germany,Europe,https://www.linkedin.com/in/quaschning/?originalSubdomain=de,52.520007,13.404954
506,Wanjira Mathai,Vice President and Regional Director,World Resources Institute (WRI),Over 30,Female,Non-Profit,,Nairobi,Kenya,Africa,https://www.wri.org/profile/wanjira-mathai,-1.292066,36.821946
507,Wawira Njiru,Founder and Executive Director,Food for Education,Under 30,Female,Non-Profit,NGO - Food,Nairobi,Kenya,Africa,https://twitter.com/wawiranjiru?lang=en,-1.292066,36.821946
508,Wayne Omonuwa,Nigeria Energy Lead,Rocky Mountain Institute,Under 30,Male,Non-Profit,NGO,Reading,United Kingdom,Europe,https://www.linkedin.com/in/wayne-omonuwa-consultant/,40.335648,-75.926875
509,"Wenchun Zheng
",Founder of Blue Ribbon Ocean Conservation,Blue Ribbon Ocean Conservation,Over 30,Male,Non-profit,Government/envrionmental ,Hainan,China,Asia,http://www.ch-blueocean.org,19.566395,109.949686
510,Wenonah Hauter,Founder and Executive Director,Food and Water Watch,Over 30,Female,Non-Profit,NGO,"Washington, D.C.",USA,North America,https://www.foodandwaterwatch.org/staff/board-of-directors/,38.907192,-77.036871
511,William Kamkwamba,Co-founder,Moving Windmills Project,Under 30,Male,Non-Profit,Energy/Environmental,Wimbe ,Malawi,Africa,https://www.ted.com/speakers/william_kamkwamba https://movingwindmills.org/,42.202064,-71.255791
512,William Sisson,Executive Director,World Business Council for Sustainable Development,Over 30,Male,Non-Profit,NGO,"Avon, CT",USA,North America,https://www.linkedin.com/in/wsissonwbcsd/,41.80962,-72.830515
513,Wouter  van Tol,"Head of Government, Community Affairs, and Sustainability",DS Smith,Over 30,Male,For-Profit,Energy/Environmental,London,United Kingdom,Europe,https://www.linkedin.com/in/woutervantol/,51.507218,-0.127586
514,Wu Changhua,CEO,Beijing Future Innovation Center,Over 30,Female,Non-Profit,NGO,Beijing,China,Asia,https://www.linkedin.com/in/changhua-wu-a9495237/,39.9042,116.407396
515,Xi Jinping,President,China,Over 30,Male,Non-Profit,Government,Zhongnanhai,China,Asia,https://www.google.com/url?q=https://www.edf.org/media/president-xi-jinping-reaffirms-chinas-climate-commitment&sa=D&source=editors&ust=1629240860985000&usg=AOvVaw2I0rEzNHumAXC-FBGJ3ZmU,44.0616,12.572518
516,Holly Beale,"Program Manager, Datacenter Environmental Sustainability",Microsoft,Under 30,Female,For-Profit,General,"Seattle, WA",USA,North America,https://www.linkedin.com/in/hollybeale/,47.60621,-122.332071
517,Alexandria Ocasio-Cortez,U.S. Representative for NY-14,U.S. Congress,Under 30,Female,Non-Profit,Government,"Washington, D.C.",USA,North America,https://twitter.com/AOC?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,38.907192,-77.036871
518,"Yangshengjing ""UB"" Qiu",Partnership Development Executive,Green Monday,Under 30,Female,For-Profit,Energy/Environmental,Shanghai,China,Asia,https://www.linkedin.com/in/yangshengjingqiu/?originalSubdomain=cn,31.230416,121.473701
