idx,Last Name(s),company,Title (as a thought leader),notes,City/State,Country,city,website,lat,lng,tax1,tax2,tax3
347,Palt,Alexandra Palt,Executive Vice President and Chief Sustainability Officer,L'Oreal,Paris,France,"Paris, France",https://www.linkedin.com/in/alexandra-palt-953133a/,48.856614,2.352222,Leader,Leader,Leader
348,Pandey,Ridhima Pandey,Climate Activist,,Haridwar,India,"Haridwar, India",https://twitter.com/ridhimapandey7?lang=en,29.945691,78.164248,Leader,Leader,Leader
349,Parikh,Jyoti Parikh,Executive Director,Integrated Research and Action for Development,South Delhi,India,"South Delhi, India",https://www.linkedin.com/in/jyoti-parikh-25b1707/,28.481655,77.187286,Leader,Leader,Leader
350,Pendragon,Carl Pendragon,Founder and Chief Executive Officer,Skymining,Stockholm,Sweden,"Stockholm, Sweden",https://www.linkedin.com/in/carl-pendragon-b4212a68/,59.329324,18.068581,Leader,Leader,Leader
351,Perez,Bea Perez,Senior Vice President and Sustainability Officer,Coca-Cola Company,"Decatur, GA",USA,"Decatur, GA, USA",https://www.linkedin.com/in/bea-perez-8225919/,33.774828,-84.296312,Leader,Leader,Leader
352,"Pérez, Jr.","Vincent Pérez, Jr.",Chairman; Former Secretary,Alternergy and Solar Pacific; Philippine Department of Energy,Manila,Philippines,"Manila, Philippines",https://www.linkedin.com/in/vince-s-perez-1287968/?originalSubdomain=ph,14.599512,120.98422,Leader,Leader,Leader
353,Perkins,Lewis Perkins,President,Apparel Impact Institute,"San Francisco, CA",USA,"San Francisco, CA, USA",https://www.linkedin.com/in/lewisbperkins/,37.77493,-122.419416,Leader,Leader,Leader
354,Perry,Charles Perry,"Special Projects and Aviation, High Level Climate Champion","Sustainable Future for All, COP26",London,United Kingdom,"London, United Kingdom",https://www.linkedin.com/in/charles-perry-3742932/,51.507218,-0.127586,Leader,Leader,Leader
355,Peters,Jonas C. Peters,"Director of Resnick Sustainability Institute, Bren Professor of Chemistry",Caltech,"Pasadena, CA",USA,"Pasadena, CA, USA",https://www.cce.caltech.edu/people/jonas-c-peters,34.147785,-118.144516,Leader,Leader,Leader
356,Pfund,Nancy Pfund,Founder and Managing Partner,DBL Ventures,"San Francisco, CA",USA,"San Francisco, CA, USA",https://www.linkedin.com/in/nancy-pfund-30b6ab13/,37.77493,-122.419416,Leader,Leader,Leader
357,Pica,Erich Pica,President,Friends of the Earth,"Washington, DC",USA,"Washington, DC, USA","https://foe.org/about-us/our-team/
https://www.linkedin.com/in/erich-pica-4b84011a/",38.907192,-77.036871,Leader,Leader,Leader
358,Piccard,Bertrand Piccard,Chairman,Solar Impulse Foundation,Vaud,Switzerland,"Vaud, Switzerland",https://www.linkedin.com/in/bertrandpiccard/,46.561314,6.536765,Leader,Leader,Leader
359,Polman,Paul Polman,"Former Chief Executive Officer, Co-Founder","Unilever, Imagine",London,United Kingdom,"London, United Kingdom",https://www.linkedin.com/in/paulpolman/,51.507218,-0.127586,Leader,Leader,Leader
360,Poulsen,Henrik Poulsen,Chief Executive Officer,Ørsted,Copenhagen,Denmark,"Copenhagen, Denmark",https://www.linkedin.com/in/henrik-poulsen-155b22189/,55.676097,12.568337,Leader,Leader,Leader
361,Prakash,Varshini Prakash,"Co-founder, Executive Director",Sunrise Movement,"Boston, MA",USA,"Boston, MA, USA",https://twitter.com/VarshPrakash?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,42.360082,-71.05888,Leader,Leader,Leader
362,Pulgar-Vidal,Manuel Pulgar-Vidal,Global Leader of Climate & Energy,World Wildlife Fund (WWF),Lima,Peru,"Lima, Peru",https://www.linkedin.com/in/manuel-pulgar-vidal-68447b13/ ,-12.046373,-77.042754,Leader,Leader,Leader
363,Qian,Dany Qian,Global Vice President,Jinko Solar,Shanghai,China,"Shanghai, China",https://www.linkedin.com/in/晶-钱-b77039166/?originalSubdomain=cn,31.230416,121.473701,Leader,Leader,Leader
364,Quaschning,Volker Quaschning,Professor of Renewable Energy Systems,NTW Berlin,Berlin,Germany,"Berlin, Germany",https://www.linkedin.com/in/quaschning/?originalSubdomain=de,52.520007,13.404954,Leader,Leader,Leader
365,Rabinovitch,Kevin Rabinovitch,"Global VP, Sustainability and Chief Climate Officer","Mars, Inc.","Mclean, VA",USA,"Mclean, VA, USA",https://www.linkedin.com/in/kevin-rabinovitch-4280735/,38.933868,-77.17726,Leader,Leader,Leader
366,Ramanujam,Mahesh Ramanujam,President and Chief Executive Officer,US Green Building Council,"Washington, DC",USA,"Washington, DC, USA",https://www.linkedin.com/in/mahesh-ramanujam-a95a85a/,38.907192,-77.036871,Leader,Leader,Leader
367,Rasyid,Yasmin Rasyid,Founder/President,EcoKnights,Kuala Lumpur,Malaysia,"Kuala Lumpur, Malaysia",https://www.linkedin.com/in/yasminrasyid/,3.139003,101.686855,Leader,Leader,Leader
368,Ravenel,Curtis Ravenel,"Finance Advisor, Senior Advisor to Mark Carney",COP26 ,"New York, NY",USA,"New York, NY, USA",https://www.linkedin.com/in/curtis-ravenel/,40.712775,-74.005973,Leader,Leader,Leader
369,Raworth,Kate Raworth,Author; Senior Research Associate; Professor of Practice,Doughnut Economics; Oxford University’s Environmental Change Institute; Amsterdam University of Applied Sciences,Oxford,United Kingdom,"Oxford, United Kingdom",https://www.kateraworth.com/about/,51.754816,-1.254367,Leader,Leader,Leader
370,Razzouk,Assaad Razzouk,Chief Executive Officer at Gurīn Energy,Gurīn Energy,Singapore,Singapore,"Singapore, Singapore",https://www.linkedin.com/in/assaadrazzouk/,1.352083,103.819836,Leader,Leader,Leader
371,Reames,Tony Reames,Assistant Professor of Energy Justice,School for Environment and Sustainability at the University of Michigan,"Ann Arbor, MI",USA,"Ann Arbor, MI, USA",https://www.linkedin.com/in/tonygreames/,42.280826,-83.743038,Leader,Leader,Leader
372,Rijsberman,Frank Rijsberman,Director General,Global Green Growth Institute,Seoul,South Korea,"Seoul, South Korea",https://www.linkedin.com/in/frank-rijsberman-17841014/,37.566535,126.977969,Leader,Leader,Leader
373,Roberts,Carter Roberts,President and Chief Executive Officer,World Wildlife Fund (WWF),"Washington, DC",USA,"Washington, DC, USA",https://www.linkedin.com/in/carter-roberts-09879331/,38.907192,-77.036871,Leader,Leader,Leader
374,Robertson,Gregor Robertson,"Former Mayor of Vancouver, Global Ambassador",Global Covenant of Mayors for Climate and Energy,Vancouver,Canada,"Vancouver, Canada",https://www.linkedin.com/in/gregor-robertson/?originalSubdomain=ca ,49.282729,-123.120738,Leader,Leader,Leader
375,Roche,Vincent Roche,President and Chief Executive Officer,Analog Devices,"Norwood, MA",USA,"Norwood, MA, USA",https://www.analog.com/en/about-adi/corporate-information/executive-team/vincent-roche.html,42.194391,-71.19897,Leader,Leader,Leader
376,Rodriguez,Carlos Manuel Rodriguez,Chief Executive Officer and Chairperson,Global Environment Facility,San Jose,Costa Rica,"San Jose, Costa Rica",https://www.linkedin.com/in/carlos-manuel-rodriguez-7442581b6/ ,37.338208,-121.886329,Leader,Leader,Leader
377,Rodriguez Acha,Majandra Rodriguez Acha,Co-founder,TierrActiva Peru,Lima,Peru,"Lima, Peru",https://twitter.com/majandrraa?lang=en,-12.046373,-77.042754,Leader,Leader,Leader
378,Rozza,Joe Rozza,Director of Sustainability and Resilience,Jacobs,"Atlanta, GA",USA,"Atlanta, GA, USA",https://www.linkedin.com/in/joe-rozza-a8143b12/,33.748995,-84.387982,Leader,Leader,Leader
379,Rucker,Michael Rucker,Chief Executive Officer and Founder,Scout Clean Energy,"Boulder, CO",USA,"Boulder, CO, USA",https://www.linkedin.com/in/michaelwrucker/,40.014986,-105.270546,Leader,Leader,Leader
380,Rukavina,Frank Rukavina,President and Senior Advisor,Sustainable Innovations Operative,"Denver, CO",USA,"Denver, CO, USA",https://www.linkedin.com/in/frank-rukavina/,39.739236,-104.990251,Leader,Leader,Leader
381,Sachs,Jeffrey Sachs,Director,Columbia Center on Sustainable Development,"New York, NY",USA,"New York, NY, USA",https://www.linkedin.com/in/jeffrey-sachs-7494689a/,40.712775,-74.005973,Leader,Leader,Leader
382,Saltvedt,Thina Margreth Saltvedt,"Senior Advisor, Sustainable Finance",Nordea Bank,Oslo,Norway,"Oslo, Norway",https://www.linkedin.com/in/thina-margrethe-saltvedt-8163711/,59.913869,10.752245,Leader,Leader,Leader
383,Samper,Cristian Samper,President and Chief Executive Officer,Wildlife Conservation Society,"New York, NY",USA,"New York, NY, USA",https://www.linkedin.com/in/cristian-samper-970898114/,40.712775,-74.005973,Leader,Leader,Leader
384,Sanchez,Viviana Alvarez Sanchez,Head of Sustainability,North America Unilever ,"New York, NY",USA,"New York, NY, USA",https://www.linkedin.com/in/viviana-alvarez-sanchez-6a21b43a/,40.712775,-74.005973,Leader,Leader,Leader
385,Sanchez,Alvaro Sanchez,Environmental Equity Director,The Greenlining Institute,"San Francisco, CA",USA,"San Francisco, CA, USA",https://www.linkedin.com/in/alvarossanchez/,37.77493,-122.419416,Leader,Leader,Leader
386,Sanjayan,M. Sanjayan,Chief Executive Officer,Conservation International,"Arlington, VA",USA,"Arlington, VA, USA",https://www.linkedin.com/in/m-sanjayan-7a9593b4/ ,38.881621,-77.090981,Leader,Leader,Leader
387,Saunders,Tedd Saunders,Founder and Chief Executive Officer,EcoLogical Solutions,"Boston, MA",USA,"Boston, MA, USA",https://www.linkedin.com/in/tedd-saunders-a883a51/,42.360082,-71.05888,Leader,Leader,Leader
388,Scatasta,Monica Scatasta,"Director, Former Head of Division, Climate, Environment, and Social Policy","Council of Europe Development Bank, European Investment Bank",Luxembourg,Luxembourg,"Luxembourg, Luxembourg",https://www.linkedin.com/in/monica-scatasta-b66089a/,49.815273,6.129583,Leader,Leader,Leader
389,Schauble,Barney Schauble,"Head of Labs, Chairman; Director and Chair",Nephila Climate; Ceres,"Larkspur, CA",USA,"Larkspur, CA, USA",https://www.linkedin.com/in/bschauble/,37.934092,-122.535254,Leader,Leader,Leader
390,Schellnhuber,Hans Joachim Schellnhuber,Founding Director,The Potsdam Institute for Climate Impact Research,Potsdam,Germany,"Potsdam, Germany",https://twitter.com/PIK_Climate?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,52.390569,13.064473,Leader,Leader,Leader
391,Schrag,Daniel Schrag,Director of the Harvard University Center for the Environment.,Harvard University,"Cambridge, MA",USA,"Cambridge, MA, USA",https://www.linkedin.com/in/daniel-schrag-6775b58/,42.373616,-71.109734,Leader,Leader,Leader
392,Schueller,Gayle Schueller,Vice President and Chief Sustainability Officer,3M,"Minneapolis, MN",USA,"Minneapolis, MN, USA",https://www.linkedin.com/in/gayleschueller/,44.977753,-93.265011,Leader,Leader,Leader
393,Schwab,Klaus Schwab,Founder and Executive Chairman,World Economic Forum,Geneva,Switzerland,"Geneva, Switzerland",https://www.linkedin.com/in/klaus-schwab-80b285200/,46.204391,6.143158,Leader,Leader,Leader
394,Schwartz,Daniel Schwartz,Director of Clean Energy Institute,University of Washington,"Seattle, WA",USA,"Seattle, WA, USA",https://www.linkedin.com/in/dt-schwartz/,47.60621,-122.332071,Leader,Leader,Leader
395,Selzer,Larry Selzer,President and Chief Executive Officer,The Conservation Fund,"Arlington, VA",USA,"Arlington, VA, USA","https://www.conservationfund.org/our-experts/larry-selzer
https://www.linkedin.com/in/larry-selzer-b243239/ ",38.881621,-77.090981,Leader,Leader,Leader
396,Shah,Aniket Shah,Senior Advisor for Sustainable Finance,UN Sustainable Development Solutions Network,"New York, NY",USA,"New York, NY, USA",https://www.linkedin.com/in/aniket-shah-phd-360a3635/ ,40.712775,-74.005973,Leader,Leader,Leader
397,Shahnaz,Durreen Shahnaz,Founder and Chief Executive Officer,Impact Investment Exchange,Singapore,Singapore,"Singapore, Singapore",https://www.linkedin.com/in/durreenshahnaz/,1.352083,103.819836,Leader,Leader,Leader
398,Sharpe,Vicky Sharpe,Member Board of Directors; Former President and Chief Executive Officer,EfficiencyOne; Sustainable Development Technology Canada,Nova Scotia,Canada,"Nova Scotia, Canada",https://www.linkedin.com/in/vicky-sharpe-3b584051/ ,44.681987,-63.744311,Leader,Leader,Leader
399,Sharpless,Andrew Sharpless,Chief Executive Officer,Oceana,"Washington, DC",USA,"Washington, DC, USA",https://www.linkedin.com/in/andrew-sharpless-8844a4b/,38.907192,-77.036871,Leader,Leader,Leader
400,Shellenberger,Michael Shellenberger,President; Former President,Environmental Progress; The Breakthrough Institute,"Berkeley, CA",USA,"Berkeley, CA, USA",https://www.linkedin.com/in/michael-shellenberger-019631a8/ ,37.871523,-122.273042,Leader,Leader,Leader
401,Shelton,Suzanne Shelton,President and Chief Executive Officer,Shelton Group,"Knoxville, TN",USA,"Knoxville, TN, USA",https://www.linkedin.com/in/suzanneshelton/,35.960638,-83.920739,Leader,Leader,Leader
402,Shiva,Vandana Shiva,Founding Member,World Future Council,New Delhi,India,"New Delhi, India",https://twitter.com/drvandanashiva?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,28.613939,77.209021,Leader,Leader,Leader
403,Shrivastava,Paul Shrivastava,Chief Sustainability Officer,Sustainability Institute at Penn State,"State College, PA",USA,"State College, PA, USA",https://directory.smeal.psu.edu/pxs993,40.793395,-77.860001,Leader,Leader,Leader
404,Shuckburgh,Emily Shuckburgh,Director,Cambridge Zero at University of Cambridge,Cambridge,United Kingdom,"Cambridge, United Kingdom",https://www.linkedin.com/in/emily-shuckburgh-01750a4/,52.205337,0.121817,Leader,Leader,Leader
405,Silberman,Jennifer Silberman,VP of ESG,YETI,"Washington, DC",USA,"Washington, DC, USA",https://www.linkedin.com/in/jennifer-silberman-3b40492/,38.907192,-77.036871,Leader,Leader,Leader
406,Silva Villanueva,Alicia Silva Villanueva,Founder and Chief Executive Officer,Revitaliza Consultores,Mexico City,Mexico,"Mexico City, Mexico",https://www.linkedin.com/in/aliciasilvasynergy/,19.432608,-99.133208,Leader,Leader,Leader
407,Simpson,Anne Simpson,Managing Investment Director for Board Governance and Sustainability,CalPERS,"Sacramento, CA",USA,"Sacramento, CA, USA",https://www.linkedin.com/in/anne-simpson-a3024328/,38.581572,-121.4944,Leader,Leader,Leader
408,Simpson,Paul Simpson,Chief Executive Officer,CDP,London,United Kingdom,"London, United Kingdom",https://www.linkedin.com/in/paulsimpsoncdp/,51.507218,-0.127586,Leader,Leader,Leader
409,Simson,Kadri Simson,Commissioner for Energy,European Union,Estonia,Estonia,"Estonia, Estonia",https://twitter.com/KadriSimson?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,58.595272,25.013607,Leader,Leader,Leader
410,Singh,Inesh Singh,Chief Sustainability Officer,Sula Vineyards,Haryana,India,"Haryana, India",https://www.linkedin.com/in/ineshsingh/,29.058776,76.085601,Leader,Leader,Leader
411,Sisson,William Sisson,Executive Director,World Business Council for Sustainable Development,"Avon, CT",USA,"Avon, CT, USA",https://www.linkedin.com/in/wsissonwbcsd/,41.80962,-72.830515,Leader,Leader,Leader
412,Sivaram,Varun Sivaram,Senior Director for Clean Energy & Innovation,US Special Presidential Envoy for Climate,"Washington, DC",USA,"Washington, DC, USA",https://www.linkedin.com/in/varunsivaram/,38.907192,-77.036871,Leader,Leader,Leader
413,Skarheim Onsum,Astrid Skarheim Onsum,Chief Executive Officer,Norsk Gjenvinning,Oslo,Norway,"Oslo, Norway",https://www.linkedin.com/in/astrid-skarheim-onsum-7a34b01/,59.913869,10.752245,Leader,Leader,Leader
414,Skea,Jim Skea,Professor of Sustainable Energy,Imperial College London,London,United Kingdom,"London, United Kingdom",https://www.imperial.ac.uk/people/j.skea,51.507218,-0.127586,Leader,Leader,Leader
415,Skinner,Scott Skinner,President and Chief Executive Officer,Clean Foundation,Nova Scotia,Canada,"Nova Scotia, Canada",https://www.linkedin.com/in/scott-skinner-8369011/ ,44.681987,-63.744311,Leader,Leader,Leader
416,Skone,Timothy  Skone,Senior Environmental Engineer,"US Department of Energy, National Energy Technology Labratory","Irwin, PA",USA,"Irwin, PA, USA",https://www.linkedin.com/in/timothy-skone-b3578479/,40.324514,-79.701155,Leader,Leader,Leader
417,Smith,Valerie Smith,Chief Sustainability Officer,CitiBank,"New York, NY",USA,"New York, NY, USA",https://www.linkedin.com/in/valerie-smith-98aa326/,40.712775,-74.005973,Leader,Leader,Leader
418,Smith,Andrew Smith,"Sr. Manager, Global Energy Management and Sustainability",Cisco,"Boulder, CO",USA,"Boulder, CO, USA",https://www.linkedin.com/in/andrew-smith-94ba585/,40.014986,-105.270546,Leader,Leader,Leader
419,Smith,Alwyn  Smith,Chairman,Southern African Alternative Energy Association (SAAEA),Johannesburg,South Africa,"Johannesburg, South Africa",https://www.linkedin.com/in/saaea/,-26.204103,28.047305,Leader,Leader,Leader
420,Smith,Bren Smith,Co-Executive Director and Co-Founder,GreenWave,"Long Island Sound, CT",USA,"Long Island Sound, CT, USA",https://www.greenwave.org/team ,41.074845,-72.946057,Leader,Leader,Leader
421,Smith,Merran Smith,Executive Director,Clean Energy Canada,Victoria,Canada,"Victoria, Canada",https://www.linkedin.com/in/merran-smith-64603b63/ ,48.428421,-123.365644,Leader,Leader,Leader
422,Sokona,Youba Sokona,Coordinator of the African Climate Policy Centre,United Nations Economic Commission for Africa (UNECA),Bamako,Mali,"Bamako, Mali",https://www.linkedin.com/in/youba-sokona-01b1b721/,12.639232,-8.002889,Leader,Leader,Leader
423,Soni,Preeti Soni,"Chief of Climate Change, Resilience, and Energy",United Nations Development Programme (UNDP),Delhi,India,"Delhi, India",https://www.linkedin.com/in/preeti-soni-917b667/,28.704059,77.10249,Leader,Leader,Leader
424,Souris,Dominique Souris,Co-Founder and Executive Director,Youth Climate Lab,Ontario,Canada,"Ontario, Canada",https://www.linkedin.com/in/dominiquesouris/ ,51.253775,-85.323214,Leader,Leader,Leader
425,Spade,Katrina Spade,Founder and Chief Executive Officer,Recompose,"Seattle, WA",USA,"Seattle, WA, USA",https://www.linkedin.com/in/katrina-spade-37047439/,47.60621,-122.332071,Leader,Leader,Leader
426,Sridhar,Kaushik Sridhar,Group Manager of Social Responsibility and ESG Reporting,Evolution Mining,Sydney,Australia,"Sydney, Australia",https://www.linkedin.com/in/kaushiksridhar83/,-33.86882,151.209296,Leader,Leader,Leader
427,Srivastava,Kushagra  Srivastava,Chief Executive Officer,Chakr Innovation,Delhi,India,"Delhi, India",https://www.linkedin.com/in/kushagra-srivastava-b68b2787/,28.704059,77.10249,Leader,Leader,Leader
428,St. Clair,Matt St. Clair,Director of Sustainability,University of California - Office of the President,"Oakland, CA",USA,"Oakland, CA, USA",https://www.linkedin.com/in/matt-st-clair-e-mail-6186b0/,37.804351,-122.271164,Leader,Leader,Leader
429,Stark,Chris Stark,Chief Ececutive,UK's Climate Change Committee (CCC),London,United Kingdom,"London, United Kingdom",https://www.linkedin.com/in/chris-stark-06b21a30/?originalSubdomain=uk,51.507218,-0.127586,Leader,Leader,Leader
430,Steffen,Will Steffen,Councillor,Climate Council of Australia,Canberra,Australia,"Canberra, Australia",https://www.linkedin.com/in/will-steffen-92990514/?originalSubdomain=au,-35.280937,149.130009,Leader,Leader,Leader
431,Stewart,Emma Stewart,Chief Sustainability Officer,Netflix,"San Francisco, CA",USA,"San Francisco, CA, USA",https://www.linkedin.com/in/emmastewart/,37.77493,-122.419416,Leader,Leader,Leader
432,Steyer,Tom Steyer,Founder,NextGen America,"San Francisco, CA",USA,"San Francisco, CA, USA",https://www.linkedin.com/in/tomsteyer/,37.77493,-122.419416,Leader,Leader,Leader
433,Straubel,JB Straubel,Chief Executive Officer,Redwood Materials,"Carson City, NV",USA,"Carson City, NV, USA",https://www.linkedin.com/in/jb-straubel-b694981,39.163798,-119.767403,Leader,Leader,Leader
434,Strunk,Elaine Strunk,Director of Global Sustainability,McDonalds,"Chicago, IL",USA,"Chicago, IL, USA",https://www.linkedin.com/in/elainestrunk/,41.878114,-87.629798,Leader,Leader,Leader
435,Sukhdev,Paven Sukhdev,Founder and Author,Corporation 2020,Nyon,Switzerland,"Nyon, Switzerland",https://www.linkedin.com/in/pavan-sukhdev-2780a614/?originalSubdomain=ch,46.383268,6.234785,Leader,Leader,Leader
436,Sweeney,Sean Sweeney,"Director of the International Program on Labor, Climate & Environment; Coordinator",School of Labor and Urban Studies at City University of New York; Trade Unions for Energy Democracy,"Brooklyn, NY",USA,"Brooklyn, NY, USA",https://www.linkedin.com/in/sean-sweeney-6484a738/ ,40.678178,-73.944158,Leader,Leader,Leader
437,Swilling,Mark Swilling,Professor,Stellenbosch University,Cape Town,South Africa,"Cape Town, South Africa",https://www.linkedin.com/in/mark-swilling-31b7426/,-33.924868,18.424055,Leader,Leader,Leader
438,Tare,Meghna Tare,Chief Sustainability Officer,University of Texas - Arlington,"Dallas, TX",USA,"Dallas, TX, USA",https://www.linkedin.com/in/meghnatare/,32.776664,-96.796988,Leader,Leader,Leader
439,Teixeira,Izabella Teixeira,Co-Chair; Former Minister of the Environment,UNEP International Resource Panel; Brazil,Rio de Janeiro,Brazil,"Rio de Janeiro, Brazil",https://www.linkedin.com/in/izabella-monica-teixeira-she-her-66405812a/?originalSubdomain=br,-22.906847,-43.172896,Leader,Leader,Leader
440,Tenuta,Emilio Tenuta,Vice President Corporate Sustainability,Ecolab,"Saint Paul, MN",USA,"Saint Paul, MN, USA",https://www.linkedin.com/in/emilio-tenuta-670846/,44.953703,-93.089958,Leader,Leader,Leader
441,Tercek,Mark Tercek,Chief Instigator; Former President and Chief Executive Officer,The Instigator; The Nature Conservancy,"Washington, DC",USA,"Washington, DC, USA",https://www.linkedin.com/in/marktercek/ ,38.907192,-77.036871,Leader,Leader,Leader
442,Terry,Bryant  Terry,Author,Ten Speed Press,"San Francisco, CA",USA,"San Francisco, CA, USA",https://www.linkedin.com/in/bryant-terry-54b9033/,37.77493,-122.419416,Leader,Leader,Leader
443,Tesfaye,Filagot Tesfaye,President and Founder,Ethiopian Women in Energy network ,Addis Ababa,Ethiopia,"Addis Ababa, Ethiopia",https://w4c.org/profile/addis-ababa-filagot-tesfaye http://ewien.org/about/team/filagot-tesfaye/,8.980603,38.75776,Leader,Leader,Leader
444,Thant Sin,Devi Thant Sin,Founder,Myanmar Green Network,Yangon,Myanmar,"Yangon, Myanmar",https://news.mongabay.com/2017/01/myanmars-green-princess-is-a-humble-activist-on-a-mission/,16.840939,96.173526,Leader,Leader,Leader
445,Therkildsen,Lars Therkildsen,CEO,HOFOR (Greater Copenhagen Utility),Copenhagen,Denmark,"Copenhagen, Denmark",https://www.linkedin.com/in/lars-therkildsen-6a9a01a7/?originalSubdomain=dk,55.676097,12.568337,Leader,Leader,Leader
446,Thomassin,Kim Thomassin,Executive Vice-President and Head of Investments in Québec and Stewardship Investing,CDPQ,Montreal,Canada,"Montreal, Canada",https://www.linkedin.com/in/kim-thomassin-794682/ ,45.501689,-73.567256,Leader,Leader,Leader
447,Thunberg,Greta Thunberg,Social Media Climate Activist,,Stockholm,Sweden,"Stockholm, Sweden",https://www.instagram.com/gretathunberg/,59.329324,18.068581,Leader,Leader,Leader
448,Torcellini,Paul Torcellini,Principal Engineer,National Renewable Energy Laboratory,"Golden, CO",USA,"Golden, CO, USA",https://www.linkedin.com/in/paul-torcellini-b17562209/ ,39.755543,-105.2211,Leader,Leader,Leader
449,Tournay,Robert Tournay,Head of Sustainability,PwC,"New York, NY",USA,"New York, NY, USA",https://www.linkedin.com/in/robert-tournay-7913ba6a/,40.712775,-74.005973,Leader,Leader,Leader
450,Tubiana,Laurence Tubiana,President and Chief Executive Officer,European Climate Foundation,Paris,France,"Paris, France",https://www.linkedin.com/in/laurence-tubiana-4381314/,48.856614,2.352222,Leader,Leader,Leader
451,Turner,Adair Turner,Chair,The Energy Transitions Commission,London,United Kingdom,"London, United Kingdom",https://www.oecd.org/greengrowth/GGSD%202019_Bio_Turner.pdf,51.507218,-0.127586,Leader,Leader,Leader
452,Ubaldo,Marinel Sumook Ubaldo,Climate Activist,,Manila,Philippines,"Manila, Philippines",https://www.instagram.com/mrnlsmkbld/?hl=en,14.599512,120.98422,Leader,Leader,Leader
453,Uren,Sally Uren,Chief Executive Officer,Forum for the Future,London,United Kingdom,"London, United Kingdom",https://www.linkedin.com/in/dr-sally-uren-97b90624/,51.507218,-0.127586,Leader,Leader,Leader
454,Valdes,Helena Molin Valdes,Head of Secretariat,Climate and Clean Air Coalition,Paris,France,"Paris, France",https://www.linkedin.com/in/helena-molin-valdes-7a222748/,48.856614,2.352222,Leader,Leader,Leader
455,Valiente,Diwigdi Valiente,Head of Sustainability,Panamanian Ministry of Tourism,Panama City,Panama,"Panama City, Panama",https://www.linkedin.com/in/diwigdi-valiente-19a25591/?originalSubdomain=pa,30.158813,-85.660206,Leader,Leader,Leader
456,van den Beuken,Leonie van den Beuken,Program Director,Amsterdam Smart City,Amsterdam,Netherlands,"Amsterdam, Netherlands",https://nl.linkedin.com/in/leonie-van-den-beuken-401baab,52.367573,4.904139,Leader,Leader,Leader
457,van Hook,Evan van Hook,Chief Sustainability Officer,Honeywell,"Morris Plains, NJ",USA,"Morris Plains, NJ, USA",https://www.sandia.gov/about/BofM/vanhook.html,40.839592,-74.48187,Leader,Leader,Leader
458,van Tol,Wouter van Tol,"Head of Government, Community Affairs, and Sustainability",DS Smith,London,United Kingdom,"London, United Kingdom",https://www.linkedin.com/in/woutervantol/,51.507218,-0.127586,Leader,Leader,Leader
459,Vanacker,Peter Vanacker,Chief Executive Officer,Neste Corporation,Helsinki,Finland,"Helsinki, Finland",https://www.linkedin.com/in/peter-vanacker-ba954519/,60.169856,24.938379,Leader,Leader,Leader
460,Vandycke,Nancy Vandycke,Program Manager,Sustainable Mobility for All,"Washington, DC",USA,"Washington, DC, USA",https://www.linkedin.com/in/nancy-vandycke/ ,38.907192,-77.036871,Leader,Leader,Leader
461,Vera,Francisco Vera,Founder,Guardianes Por La Vida,Villeta,Colombia,"Villeta, Colombia",https://twitter.com/franciscoactiv2?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,5.011706,-74.470362,Leader,Leader,Leader
462,Vesperis,Vladislavs Vesperis,Deputy Head,Cross-Sectoral Coordination Centre (CSCC),Riga,Latvia,"Riga, Latvia",https://www.linkedin.com/in/vladislavs-vesperis-7811b554/,56.949649,24.105186,Leader,Leader,Leader
463,Victor,David Victor,Professor; Center for Global Transformation Endowed Chair in Innovation and Public Policy,University of California San Diego,"La Jolla, CA",USA,"La Jolla, CA, USA",https://gps.ucsd.edu/faculty-directory/david-victor.html,32.832811,-117.271272,Leader,Leader,Leader
464,Vien,Colleen Vien,Sustainability Director,Timberland,"Beverely, MA",USA,"Beverely, MA, USA",https://www.linkedin.com/in/colleen-vien/,42.558428,-70.880049,Leader,Leader,Leader
465,Visbeck,Martin Visbeck,Head of Research,GeoMar,Kiel,Germany,"Kiel, Germany",https://www.linkedin.com/in/martin-visbeck-6b5b936b/,54.323293,10.122765,Leader,Leader,Leader
466,Voraakhom,Kotchakorn Voraakhom,Chairwoman of Climate Change Working Group,International Federation of Landscape Architects (IFLAWorld),Bangkok City,Thailand,"Bangkok City, Thailand",https://www.linkedin.com/in/kotch-voraakhom/?originalSubdomain=th,32.799167,-96.779444,Leader,Leader,Leader
467,Walker,Lisa Walker,Chief Executive Officer,Ecosphere+,South Nutfield,United Kingdom,"South Nutfield, United Kingdom",https://www.linkedin.com/in/lisa-walker-0286758/,51.226437,-0.130931,Leader,Leader,Leader
468,Walters,Jason Walters,Former Director of Sustainability,Pearson Plc,"New York, NY",USA,"New York, NY, USA",https://www.linkedin.com/in/jason-walters-307a881/,40.712775,-74.005973,Leader,Leader,Leader
