idx,Last Name(s),company,Title (as a thought leader),notes,City/State,Country,city,website,lat,lng,tax1,tax2,tax3
202,Hunter,Amy Hunter,Global Head of Sustainability,BlackRock,"San Francisco, CA",USA,"San Francisco, CA, USA",https://www.linkedin.com/in/amy-hunter-1307448/,37.77493,-122.419416,Leader,Leader,Leader
203,Hurst,Nate Hurst,President of Wells Fargo Foundation; Chief Social Impact and Sustainability Officer,Wells Fargo,"Washington, DC",USA,"Washington, DC, USA",https://www.linkedin.com/in/natehurst/,38.907192,-77.036871,Leader,Leader,Leader
204,Hynes,Evan Hynes,Co-Founder,Climatebase,"Berkeley, CA",USA,"Berkeley, CA, USA",https://www.linkedin.com/in/evanhynes/,37.871523,-122.273042,Leader,Leader,Leader
205,Ibrahim,Hindou Oumarou Ibrahim,President,Association for Indigenous Women and Peoples of Chad (AFPAT),N'Djamena,Chad,"N'Djamena, Chad",https://www.linkedin.com/in/hindou-oumarou-ibrahim-2ba22410/?originalSubdomain=td,12.134846,15.055742,Leader,Leader,Leader
206,Inamdar,Amar Inamdar,Managing Director,KawiSafi Ventures,Nairobi,Kenya,"Nairobi, Kenya",https://www.linkedin.com/in/amarinamdar/,-1.292066,36.821946,Leader,Leader,Leader
207,Ishii,Naoko Ishii,Former Chief Executive Officer,Global Environment Facility,Tokyo,Japan,"Tokyo, Japan",https://twitter.com/naokoishiitokyo?lang=en,35.676192,139.650311,Leader,Leader,Leader
208,Jackson,Lisa Jackson,"Vice President of Environment, Policy and Social Initiatives",Apple,"Cupertino, CA",USA,"Cupertino, CA, USA",https://www.apple.com/leadership/lisa-jackson/,37.322998,-122.032182,Leader,Leader,Leader
209,Jackson,Tim Jackson,Director,Centre for the Understanding of Sustainable Prosperity (CUSP),Guildford,United Kingdom,"Guildford, United Kingdom",https://www.linkedin.com/in/tim-jackson-0b86311b/?originalSubdomain=uk,51.23622,-0.570409,Leader,Leader,Leader
210,James,Christopher James,Founder & Executive Chairman,Engine No. 1,"San Francisco, CA",USA,"San Francisco, CA, USA",https://www.linkedin.com/company/engine-no-1/people/,37.77493,-122.419416,Leader,Leader,Leader
211,Jeng,Fatou Jeng,Founder,Clean Earth Gambia,Banjul,The Gambia,"Banjul, The Gambia",https://www.linkedin.com/in/fatou-jeng-605b8410b/detail/contact-info/,13.454375,-16.575319,Leader,Leader,Leader
212,Jenks,Brett Jenks,President and Chief Executive Officer,Rare,"Washington, DC",USA,"Washington, DC, USA",https://www.linkedin.com/in/brett-jenks-9200196/ ,38.907192,-77.036871,Leader,Leader,Leader
213,Johnson,David Johnson,Principal ,SERA Architects,"Oakland, CA",USA,"Oakland, CA, USA",https://www.linkedin.com/in/david-johnson-3a51495,37.804351,-122.271164,Leader,Leader,Leader
214,Johnson,Marilyn Johnson,Senior Director of Global Sustainability,Clarivate,"Seattle, WA",USA,"Seattle, WA, USA",https://www.linkedin.com/in/marilynajohnson/,47.60621,-122.332071,Leader,Leader,Leader
215,Johnson,Ayana Elizaeth Johnson,Co-Founder,Urban Ocean Lab,"Brooklyn, NY",USA,"Brooklyn, NY, USA",https://www.linkedin.com/in/ayanaelizabeth/,40.678178,-73.944158,Leader,Leader,Leader
216,Jones,Dave Jones,"Director, Climate Risk Initiative","Center for Law Energy & the Environment, UC Berkeley","Berkeley, CA",USA,"Berkeley, CA, USA",https://www.law.berkeley.edu/research/clee/about/people/dave-jones-2/,37.871523,-122.273042,Leader,Leader,Leader
217,Jones,Hannah Jones,Former Chief Sustainability Officer,Nike,"Portland, OR",USA,"Portland, OR, USA",https://www.linkedin.com/in/joneshannah/,45.515232,-122.678385,Leader,Leader,Leader
218,Joppa,Lucas Joppa,Chief Environmental Officer,Microsoft,"Redmond, WA",USA,"Redmond, WA, USA",https://www.linkedin.com/in/lucas-joppa/,47.673988,-122.121512,Leader,Leader,Leader
219,Kalvig,Siri M.  Kalvig,Chief Executive Officer,Nysnø Climate Investments,Stavanger,Norway,"Stavanger, Norway",https://www.linkedin.com/in/siri-m-kalvig-a17596b/,58.969976,5.733107,Leader,Leader,Leader
220,Kamkwamba,William Kamkwamba,Co-founder,Moving Windmills Project,Wimbe ,Malawi,"Wimbe , Malawi",https://twitter.com/wkamkwamba?lang=en,47.169714,-98.459818,Leader,Leader,Leader
221,Kammen,Daniel Kammen,Professor of Energy,UC Berkeley; Renewable and Appropriate Energy Lab,"Berkeley, CA",USA,"Berkeley, CA, USA",https://www.linkedin.com/in/daniel-kammen-4217346/ ,37.871523,-122.273042,Leader,Leader,Leader
222,Kampschroer,Kevin Kampschroer,Director; Chief Sustainability Officer,US General Services Administration,"Washington, DC",USA,"Washington, DC, USA",https://www.linkedin.com/in/kevinkampschroer/ ,38.907192,-77.036871,Leader,Leader,Leader
223,Karsner,Andy Karsner,Partner,Emerson Collective,"Palo Alto, CA",USA,"Palo Alto, CA, USA",https://www.linkedin.com/in/andy-karsner-3191952/,37.441883,-122.14302,Leader,Leader,Leader
