idx,First_Middle_Name,Last_Name,company,Title,notes,tax1,city,Country,Continent,website,"lat, lng",lat,lng,tax2,tax3
72,José Luis,Blasco,José Luis Blasco,Global Sustainability Director,Acciona,For-Profit,Madrid,Spain,Europe,https://www.linkedin.com/in/joseluisblasco/,"40.4167754, -3.7037902",40.416775,-3.70379,Unknown,Unknown
73,Valerie,Smith,Valerie Smith,Chief Sustainability Officer,CitiBank,For-Profit,"New York, NY",USA,North America,https://www.linkedin.com/in/valerie-smith-98aa326/,"40.7127753, -74.0059728",40.712775,-74.005973,Unknown,Unknown
74,Chris,Castro,Chris Castro,Director of Sustainability and Resilience,City of Orlando,Non-Profit,"Orlando, FL",USA,North America,https://www.linkedin.com/in/chriscastroideas/ ,"28.5383832, -81.3789269",28.538383,-81.378927,Unknown,Unknown
75,Marilyn,Johnson,Marilyn Johnson,Senior Director of Global Sustainability,Clarivate,For-Profit,"Seattle, WA",USA,North America,https://www.linkedin.com/in/marilynajohnson/,"47.6062095, -122.3320708",47.60621,-122.332071,Unknown,Unknown
76,Audrey,Lee,Audrey Lee,Co-Chair,Clean Energy for Biden,Non-Profit,"San Francisco, CA",USA,North America,https://www.linkedin.com/in/jaudreylee/ ,"37.7749295, -122.4194155",37.77493,-122.419416,Unknown,Unknown
77,Pratik,Gauri,Pratik Gauri,Partner and India President,5th Element Group PBC,For-Profit,Delhi,India,Asia,https://www.linkedin.com/in/pratikgauri/,"28.7040592, 77.10249019999999",28.704059,77.10249,Unknown,Unknown
78,Esther,Morales,Esther Morales,Executive Director,Clean Energy Leadership Institute,Non-Profit,Unknown,USA,North America,https://www.linkedin.com/in/esther-f-morales/,"37.09024, -95.712891",37.09024,-95.712891,Unknown,Unknown
79,Nils,Rage,Nils Rage,Sustainable Design and Innovation Manager,Landsec,For-Profit,London,England,Europe,https://www.linkedin.com/in/ragenils/,"51.5073509, -0.1277583",51.507351,-0.127758,Unknown,Unknown
80,Erik,Birkerts,Erik Birkerts,CEO,Clean Energy Trust,Non-Profit,"Lake Bluff, IL",USA,North America,https://www.linkedin.com/in/birkerts/ ,"42.2791365, -87.8443151",42.279136,-87.844315,Unknown,Unknown
81,Selwin,Hart,Selwin Hart,Special Advisor and Assistant-Secretary General,Climate Action at United Nations,Non-Profit,"Washington, D.C.",USA,North America,https://www.linkedin.com/in/selwin-hart-852080136/ ,"38.9071923, -77.0368707",38.907192,-77.036871,Unknown,Unknown
82,Hilda,Liswani,Hilda Liswani,Founder and CEO,WeBloom,For-Profit,Zurich,Switzerland,Europe,https://www.linkedin.com/in/hilda-n-liswani-7952218a/,"47.3768866, 8.541694",47.376887,8.541694,Unknown,Unknown
83,Mafalda,Duarte,Mafalda Duarte,CEO,Climate Investment Funds,Non-Profit,"Washington, D.C.",USA,North America,https://www.linkedin.com/in/mafaldaduarte1/ ,"38.9071923, -77.0368707",38.907192,-77.036871,Unknown,Unknown
84,Barbara,Buchner,Barbara Buchner,Global Managing Director,Climate Policy Initiative,Non-Profit,"San Francisco, CA",USA,North America,https://www.linkedin.com/in/barbara-buchner-3baaa86/,"37.7749295, -122.4194155",37.77493,-122.419416,Unknown,Unknown
85,Evan,Hynes,Evan Hynes,Co-Founder,Climatebase,Non-Profit,"Berkeley, CA",USA,North America,https://www.linkedin.com/in/evanhynes/,"37.8715226, -122.273042",37.871523,-122.273042,Unknown,Unknown
86,Bill,Weihl,Bill Weihl,Founder and Executive Director,ClimateVoice,Non-Profit,"San Francisco, CA",USA,North America,https://www.linkedin.com/in/bweihl/,"37.7749295, -122.4194155",37.77493,-122.419416,Unknown,Unknown
